Year,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp
1896,75.49,83.61,67.37,42.41
1897,75.09,82.23,67.95,46.1
1898,75.06,82.99,67.12,49.58
1899,73.72,81.46,65.97,43.93
1900,69.37,77.22,61.52,18.79
1901,73.84,81.89,65.8,77.17
1902,75.69,83.28,68.1,44.38
1903,75.09,83.12,67.06,55.04
1904,75.62,83.17,68.06,63.47
1905,76.1,83.5,68.71,65.18
1906,75,81.66,68.33,72.01
1907,75.28,82.97,67.58,33.15
1908,75.94,84.03,67.85,85.36
1909,76.13,83.83,68.44,76.78
1910,74.36,83.46,65.26,51.97
1911,76.66,83.74,69.58,25.15
1912,76.22,82.55,69.88,0
1913,75.31,81.58,69.04,0
1914,74.06,80.2,67.92,0
1915,73.87,79.2,68.53,0
1916,74.12,79.89,68.35,0
1917,73.67,79.63,67.72,0
1918,74.63,80.36,68.91,0
1919,74.82,80.38,69.26,0
1920,74,80.07,67.92,0
1921,75.2,80.92,69.49,0
1922,75.69,80.9,70.48,0
1923,75.06,80.97,69.14,0
1924,75.03,81.06,68.99,0
1925,75.68,81.38,69.98,0
1926,75.41,81.27,69.56,0
1927,75.52,81.08,69.95,0
1928,74.35,80.21,68.49,0
1929,75.93,81.25,70.61,0
1930,75.17,80.75,69.59,0
1931,74.84,80.2,69.49,0
1932,76.06,81.83,70.3,0
1933,76.26,81.61,70.91,0
1934,75.53,81.39,69.67,0
1935,75,81.26,68.75,0
1936,75.68,81.34,70.01,0
1937,75.64,81.08,70.21,0
1938,75.68,81.23,70.14,0
1939,74.96,83.76,66.15,72.11
1940,72.88,81.87,63.89,67.12
1941,74.47,83.12,65.81,63.34
1942,74.11,83.21,65.01,68.87
1943,74.11,83.1,65.12,62.45
1944,74.67,83.66,65.68,40.19
1945,75.1,83.72,66.49,42.28
1946,76.49,84.79,68.19,55.44
1947,75.78,83.82,67.73,78.4
1948,76.81,84.46,69.16,78.79
1949,76.13,83.88,68.39,62.14
1950,75.2,83.13,67.27,49.47
1951,75.32,83.56,67.08,38.67
1952,76.18,84.15,68.22,48.94
1953,76.41,83.63,69.19,65.15
1954,75.52,83.24,67.79,62.26
1955,75.27,83.36,67.18,41.35
1956,75.19,83.26,67.13,37.05
1957,75.88,83.32,68.45,70.87
1958,74.66,81.85,67.48,71.92
1959,75.75,82.61,68.88,89.33
1960,75.21,82.48,67.93,70.26
1961,75.91,83.09,68.73,41.7
1962,74.7,82.48,66.92,42.27
1963,74.78,82.11,67.45,46.08
1964,76.38,82.67,70.09,60.2
1965,75.96,83.13,68.78,58.4
1966,74.3,81.3,67.29,82.06
1967,75.86,82.86,68.86,66.22
1968,74.34,81.23,67.44,83.39
1969,75.57,82.24,68.91,71.49
1970,75.83,82.2,69.45,44.72
1971,76.42,82.94,69.9,50.72
1972,75.94,82.23,69.64,63.11
1973,76.07,82.12,70.02,53.24
1974,77.32,83.53,71.11,49
1975,76.97,83.16,70.78,39.1
1976,75.28,81.34,69.23,55.9
1977,75.46,81.63,69.29,64.95
1978,75.51,81.57,69.45,45.83
1979,75.76,81.93,69.59,60.11
1980,75.83,82.54,69.11,57.34
1981,75.72,83.55,67.88,50.79
1982,77.52,84.28,70.76,67.41
1983,75.4,82.88,67.93,57.42
1984,75.12,82.58,67.65,60.02
1985,75.41,83.39,67.44,56.26
1986,76.4,84.17,68.64,66.12
1987,76.53,84.05,69,50.27
1988,76.62,83.95,69.28,44.59
1989,77.47,85.33,69.62,42.63
1990,78.14,85.32,70.97,51.71
1991,77.87,84.87,70.87,71.42
1992,76.96,84.09,69.83,57.82
1993,77.37,84.42,70.31,62.79
1994,78.1,84.55,71.65,79.56
1995,77.19,84,70.38,79.3
1996,76.5,83.58,69.41,57.71
1997,77.4,84.15,70.66,70.61
1998,77.88,84.45,71.3,70.23
1999,76.71,83.79,69.62,64.09
2000,76.76,83.73,69.79,61.05
2001,76.84,83.64,70.05,72.03
2002,77.63,84.41,70.85,63.29
2003,77.32,84.26,70.38,72.13
2004,76.8,83.67,69.92,54.44
2005,76.66,83.62,69.7,68.21
2006,77.16,84.1,70.23,64.17
2007,77.88,84.75,71.02,63.97
2008,77.72,84.58,70.85,60.27
2009,77.94,85.06,70.82,52.09
2010,75.79,82.97,68.61,65.1
2011,78.27,85.31,71.23,63.78
2012,77.32,84,70.64,86.94
2013,77.9,84.45,71.36,70.42
2014,77.54,84.59,70.49,63.6
2015,79.19,85.62,72.77,62.07
2016,78.1,84.66,71.54,65.93
2017,79.12,85.9,72.34,83.12
2018,77.72,84.52,70.91,61.45
2019,79.1,85.89,72.32,67.15
2020,79.28,85.86,72.71,86.57
2021,78.28,85.01,71.56,61.27