Month,Day,Year,Byproduct,Gross_farm_value,Net_farm_value,Wholesale_value,Retail_value,Total,Farm_wholesale,Wholesale_retail
1,1,1970,4.3,52.3,48,71.2,81.4,33.4,23.2,10.2
2,1,1970,4.7,53.9,49.2,70.4,81.1,31.9,21.2,10.7
3,1,1970,4.8,49.6,44.8,68,80.7,35.9,23.2,12.7
4,1,1970,4.3,45.9,41.6,65.2,79.3,37.7,23.6,14.1
5,1,1970,3.7,44.9,41.2,65.2,79.4,38.2,24,14.2
6,1,1970,3.7,45.9,42.2,66.2,79.4,37.2,24,13.2
7,1,1970,3.8,48,44.2,66.7,80,35.8,22.5,13.3
8,1,1970,3.6,42.2,38.6,61.9,79.1,40.5,23.3,17.2
9,1,1970,3.5,38.9,35.4,59.5,76.1,40.7,24.1,16.6
10,1,1970,3.1,34.2,31.1,56.7,74,42.9,25.6,17.3
11,1,1970,2.6,30,27.4,54.8,70.2,42.8,27.4,15.4
12,1,1970,2.4,30,27.6,55.5,67.9,40.3,27.9,12.4
1,1,1971,2.5,30.6,28.1,52.9,67.9,39.8,24.8,15
2,1,1971,3.1,36.5,33.4,56.3,68.9,35.5,22.9,12.6
3,1,1971,2.8,32.2,29.4,54.5,69.4,40,25.1,14.9
4,1,1971,2.6,30.4,27.8,52,68.2,40.4,24.2,16.2
5,1,1971,2.8,32.8,30,54.7,67.7,37.7,24.7,13
6,1,1971,2.9,34.6,31.7,55.9,69.1,37.4,24.2,13.2
7,1,1971,3.1,37.3,34.2,58.3,70.9,36.7,24.1,12.6
8,1,1971,3.1,35.8,32.7,56.6,71.1,38.4,23.9,14.5
9,1,1971,3,35.6,32.6,61.4,70.5,37.9,28.8,9.1
10,1,1971,3,37.2,34.2,60.5,70.8,36.6,26.3,10.3
11,1,1971,2.8,36.4,33.6,59.2,70.9,37.3,25.6,11.7
12,1,1971,2.9,39.4,36.5,60.8,72.4,35.9,24.3,11.6
1,1,1972,3.2,46,42.8,65.7,75.8,33,22.9,10.1
2,1,1972,3.2,47.4,44.2,69,80.8,36.6,24.8,11.8
3,1,1972,3,43.6,40.6,66.4,78.9,38.3,25.8,12.5
4,1,1972,3.2,42.4,39.2,63.8,77.7,38.5,24.6,13.9
5,1,1972,3.2,46.8,43.6,66.8,78.9,35.3,23.2,12.1
6,1,1972,3.5,49.5,46,69.5,81.5,35.5,23.5,12
7,1,1972,3.6,52.8,49.2,70.2,85.1,35.9,21,14.9
8,1,1972,3.8,53.4,49.6,73.8,85.5,35.9,24.2,11.7
9,1,1972,3.5,53.8,50.3,76.2,86.1,35.8,25.9,9.9
10,1,1972,3.6,52,48.4,77,87,38.6,28.6,10
11,1,1972,3.5,51.4,47.9,76.1,86.7,38.8,28.2,10.6
12,1,1972,3.6,56.9,53.3,81.5,88,34.7,28.2,6.5
1,1,1973,3.7,59.2,55.5,84,93.6,38.1,28.5,9.6
2,1,1973,4.5,65.9,61.4,88.2,96.6,35.2,26.8,8.4
3,1,1973,5.2,69.4,64.2,91.6,102.5,38.3,27.4,10.9
4,1,1973,5.9,64.7,58.8,87.1,102.2,43.4,28.3,15.1
5,1,1973,5.5,66.2,60.7,86.2,101.9,41.2,25.5,15.7
6,1,1973,6,70.2,64.2,88.2,103.6,39.4,24,15.4
7,1,1973,7.1,84.9,77.8,105,107,29.2,27.2,2
8,1,1973,9.8,103.2,93.4,124.1,130.9,37.5,30.7,6.8
9,1,1973,7.1,79.7,72.6,106,125.7,53.1,33.4,19.7
10,1,1973,7.4,76.7,69.3,95.7,116.5,47.2,26.4,20.8
11,1,1973,6.7,74.6,67.9,96.6,114.8,46.9,28.7,18.2
12,1,1973,6.3,72.4,66.1,97.3,115.2,49.1,31.2,17.9
1,1,1974,6.6,72.7,66.1,94.8,116.2,50.1,28.7,21.4
2,1,1974,7.3,71.1,63.8,94.8,116.7,52.9,31,21.9
3,1,1974,6.4,62.4,56,83,111.4,55.4,27,28.4
4,1,1974,5.3,54.6,49.3,77.8,104.3,55,28.5,26.5
5,1,1974,4.5,46.7,42.2,71.2,99,56.8,29,27.8
6,1,1974,4.4,49,44.6,70.8,93.3,48.7,26.2,22.5
7,1,1974,6.6,65,58.4,85,103.3,44.9,26.6,18.3
8,1,1974,6.6,67.4,60.8,86.7,108.3,47.5,25.9,21.6
9,1,1974,6.2,64.1,57.9,85.2,109.5,51.6,27.3,24.3
10,1,1974,7.6,69.6,62,89.9,108.5,46.5,27.9,18.6
11,1,1974,7.4,68.6,61.2,92.3,111,49.8,31.1,18.7
12,1,1974,7.3,71.5,64.2,94.3,112.3,48.1,30.1,18
1,1,1975,5.2,68.5,63.3,93.6,114.6,51.3,30.3,21
2,1,1975,5.6,69.7,64.1,95.6,114.5,50.4,31.5,18.9
3,1,1975,5.8,69.6,63.8,96.4,113.3,49.5,32.6,16.9
4,1,1975,5.9,71.6,65.7,98.1,115.4,49.7,32.4,17.3
5,1,1975,6.2,81.7,75.5,108.1,122.6,47.1,32.6,14.5
6,1,1975,6.9,90.1,83.2,116.2,130.1,46.9,33,13.9
7,1,1975,7.8,100.6,92.8,126.5,143.3,50.5,33.7,16.8
8,1,1975,7.8,102.3,94.5,131.3,149.7,55.2,36.8,18.4
9,1,1975,8.1,107.8,99.7,138.3,153.3,53.6,38.6,15
10,1,1975,8,103,95,135.1,158.2,63.2,40.1,23.1
11,1,1975,6.5,87.5,81,125.7,153.5,72.5,44.7,27.8
12,1,1975,5.4,85.1,79.7,118.9,147.1,67.4,39.2,28.2
1,1,1976,5.3,83.7,78.4,115.3,143.9,65.5,36.9,28.6
2,1,1976,5.6,84.5,78.9,113.2,141.3,62.4,34.3,28.1
3,1,1976,5.2,80.8,75.6,107.7,138.4,62.8,32.1,30.7
4,1,1976,5.2,82.8,77.6,110.8,136.3,58.7,33.2,25.5
5,1,1976,5.3,84.6,79.3,113.7,138.3,59,34.4,24.6
6,1,1976,5.4,87.9,82.5,114.3,140.1,57.6,31.8,25.8
7,1,1976,5.5,83.5,78,110.2,141.8,63.8,32.2,31.6
8,1,1976,5.2,76.1,70.9,103.7,137.1,66.2,32.8,33.4
9,1,1976,4.4,68.1,63.7,99.5,132.4,68.7,35.8,32.9
10,1,1976,3.4,56.3,52.9,89.8,124.6,71.7,36.9,34.8
11,1,1976,3.5,55.4,51.9,89,117.3,65.4,37.1,28.3
12,1,1976,4.1,65.8,61.7,95.8,117,55.3,34.1,21.2
1,1,1977,4.4,67.2,62.8,96.4,119.5,56.7,33.6,23.1
2,1,1977,4.7,68.3,63.6,95.8,121,57.4,32.2,25.2
3,1,1977,4.5,63.8,59.3,92.8,120.9,61.6,33.5,28.1
4,1,1977,4.5,62.8,58.3,91.4,118.8,60.5,33.1,27.4
5,1,1977,5,71,66,97.2,120.8,54.8,31.2,23.6
6,1,1977,4.9,74.6,69.7,101.3,125.6,55.9,31.6,24.3
7,1,1977,5.1,77.8,72.7,103.9,132,59.3,31.2,28.1
8,1,1977,4.8,75.4,70.6,101.3,130.2,59.6,30.7,28.9
9,1,1977,4.5,70.4,65.9,97.7,130.7,64.8,31.8,33
10,1,1977,4.4,69.4,65,100.7,126.8,61.8,35.7,26.1
11,1,1977,4.2,66.9,62.7,102.4,127.4,64.7,39.7,25
12,1,1977,4.5,74.8,70.3,106.7,130.5,60.2,36.4,23.8
1,1,1978,5.2,78.2,73,101.7,133.8,60.8,28.7,32.1
2,1,1978,5.6,83,77.4,106.9,138,60.6,29.5,31.1
3,1,1978,6,80.8,74.8,105.8,139.2,64.4,31,33.4
4,1,1978,5.6,78.3,72.7,104.6,141.6,68.9,31.9,37
5,1,1978,5.9,83.6,77.7,106.9,141.4,63.7,29.2,34.5
6,1,1978,6,82.1,76.1,105.4,144.2,68.1,29.3,38.8
7,1,1978,5.7,79.6,73.9,104.7,144.2,70.3,30.8,39.5
8,1,1978,6,82.8,76.8,107.5,144.4,67.6,30.7,36.9
9,1,1978,6.4,85,78.6,110.7,145.5,66.9,32.1,34.8
10,1,1978,6.5,89.1,82.6,114.8,149.4,66.8,32.2,34.6
11,1,1978,5.9,82.5,76.6,111,150.4,73.8,34.4,39.4
12,1,1978,5.9,84.4,78.5,112.2,150.5,72,33.7,38.3
1,1,1979,6.6,103.5,96.9,121.9,163.1,66.3,25,41.2
2,1,1979,7.5,107.6,100,121.9,166.2,66.2,21.9,44.3
3,1,1979,7.3,97.4,90.1,115,166,75.9,24.9,51
4,1,1979,6,89.4,83.4,109.1,159.4,76,25.7,50.3
5,1,1979,6.2,86.5,80.3,105,158,77.7,24.7,53
6,1,1979,5.5,79.8,74.4,101.6,152.9,78.5,27.3,51.2
7,1,1979,5.4,77.3,71.9,98.2,150.7,78.8,26.3,52.5
8,1,1979,5.2,75.5,70.4,96.7,143.8,73.4,26.3,47.1
9,1,1979,5.4,76.6,71.2,99.6,143.5,72.3,28.4,43.8
10,1,1979,4.9,68.6,63.7,94.7,142.1,78.4,31,47.4
11,1,1979,4.7,72,67.3,101.4,139.9,72.6,34.1,38.4
12,1,1979,4.8,76.2,71.4,100.5,144.2,72.8,29.1,43.7
1,1,1980,4.8,74.4,69.5,98.1,143.1,73.6,28.6,45.1
2,1,1980,4.9,74.4,69.4,96,140.9,71.5,26.6,45
3,1,1980,4.4,67.5,63,92.5,141,78,29.4,48.5
4,1,1980,3.8,57.5,53.6,83.8,135.2,81.6,30.1,51.4
5,1,1980,3.8,58.6,54.8,83.6,130.8,76,28.8,47.2
6,1,1980,4.2,69.5,65.2,92.1,131.6,66.4,26.8,39.5
7,1,1980,5.4,85.5,80.2,106.7,144.1,63.9,26.5,37.4
8,1,1980,6.1,95.9,89.8,116.7,154.2,64.3,26.8,37.5
9,1,1980,6.1,93.2,87.1,116.2,159.4,72.3,29.1,43.2
10,1,1980,6,95.4,89.5,119.1,161.7,72.2,29.6,42.6
11,1,1980,6.2,91.9,85.8,117.4,165.4,79.6,31.6,48
12,1,1980,5.9,89.3,83.4,114.1,162.7,79.3,30.7,48.6
1,1,1981,5.2,82.3,77.1,109.4,160.3,83.2,32.3,50.9
2,1,1981,4.9,84,79.1,109.9,157,77.9,30.9,47.1
3,1,1981,4.7,78.3,73.6,106.8,154.7,81.1,33.2,47.9
4,1,1981,4.7,78.5,73.8,106.4,151,77.2,32.6,44.6
5,1,1981,4.9,82.9,77.9,106.7,153.3,75.4,28.8,46.6
6,1,1981,5.8,96.8,91.1,115.1,155.1,64,24,40
7,1,1981,6.1,101.2,95.1,120.3,163.9,68.8,25.3,43.5
8,1,1981,6.1,100.6,94.5,119.4,167.3,72.8,24.9,47.9
9,1,1981,6.2,98.2,92.1,118.4,168.8,76.7,26.4,50.3
10,1,1981,5.7,90.1,84.4,113.4,169.7,85.3,29,56.3
11,1,1981,5.2,83.7,78.5,110.7,167.4,88.9,32.2,56.7
12,1,1981,4.6,79.2,74.6,108.8,166.5,91.9,34.2,57.8
1,1,1982,5.4,90.7,85.3,112.5,167.4,82.1,27.2,54.9
2,1,1982,6.1,98.1,92,114.3,170,78,22.3,55.7
3,1,1982,6,97.9,91.9,116,170.8,78.8,24.1,54.7
4,1,1982,6.3,103.5,97.2,119.8,172.5,75.3,22.6,52.6
5,1,1982,7,115.1,108.1,128.3,179.4,71.3,20.2,51.1
6,1,1982,7.1,117.2,110.1,131.5,185.6,75.5,21.4,54.1
7,1,1982,6.9,118.6,111.7,135.9,191.6,79.9,24.2,55.7
8,1,1982,7.4,125,117.6,139.6,194.1,76.5,22,54.6
9,1,1982,7.3,124.7,117.4,142.9,201.3,84,25.6,58.4
10,1,1982,6.4,112.5,106.1,134.3,202,95.9,28.3,67.7
11,1,1982,5.6,105.9,100.4,130.5,197.8,97.5,30.2,67.3
12,1,1982,5.6,109.1,103.5,130.5,194.1,90.6,27,63.6
1,1,1983,6.1,112.5,106.4,127.8,195.7,89.4,21.4,67.9
2,1,1983,6,114.4,108.5,128.5,193.9,85.5,20.1,65.4
3,1,1983,5.5,100.9,95.5,120,191.2,95.7,24.6,71.2
4,1,1983,5.3,94.2,88.9,114.3,184,95.1,25.4,69.6
5,1,1983,5.2,93.5,88.3,111.4,181,92.7,23.1,69.6
6,1,1983,4.7,90.5,85.8,111.2,178,92.1,25.4,66.8
7,1,1983,4.6,90.5,85.9,109.5,176.3,90.4,23.6,66.7
8,1,1983,5.5,97.5,92.1,114.7,175.3,83.2,22.6,60.6
9,1,1983,5.3,90.3,85.1,108.7,173.4,88.3,23.6,64.7
10,1,1983,4.3,82.3,77.9,104.9,171.7,93.8,26.9,66.8
11,1,1983,4.1,77.4,73.3,105.9,168.2,95,32.7,62.3
12,1,1983,4.8,94.7,89.9,116.5,167.3,77.4,26.6,50.8
1,1,1984,5.7,98.8,93.2,118.7,171.6,78.5,25.5,52.9
2,1,1984,5.6,92.1,86.5,114.8,172.3,85.9,28.3,57.6
3,1,1984,6.2,93.3,87.2,109.1,168.6,81.5,21.9,59.6
4,1,1984,6.3,95.7,89.4,112.6,169.1,79.7,23.2,56.5
5,1,1984,6.3,95.2,88.9,116.2,167.8,78.9,27.3,51.6
6,1,1984,6.3,100.3,94,116.5,169.2,75.1,22.4,52.7
7,1,1984,6.4,107.3,100.9,123.9,171.6,70.7,23,47.7
8,1,1984,6.5,103.6,97.1,121.8,175.7,78.6,24.7,53.9
9,1,1984,5.8,93.9,88.2,117.4,173.1,84.9,29.2,55.7
10,1,1984,5.9,88.3,82.5,106.5,173.4,90.9,24,66.9
11,1,1984,6.1,96.1,90.1,112.2,171.8,81.8,22.2,59.6
12,1,1984,5.9,99.4,93.5,118.4,173,79.5,24.9,54.5
1,1,1985,5.7,97.4,91.7,115.6,175.6,83.9,23.9,60
2,1,1985,5.8,96.9,91.1,112.4,175.2,84.1,21.3,62.9
3,1,1985,5.2,86.9,81.8,107.2,174.3,92.5,25.4,67.1
4,1,1985,4.8,82.1,77.3,102.2,168.5,91.2,24.9,66.4
5,1,1985,4.5,84.2,79.7,104.7,167.9,88.2,25,63.2
6,1,1985,4.4,90.8,86.4,111.7,167.1,80.7,25.3,55.3
7,1,1985,4.7,79.3,74.6,99.9,161.7,87.1,25.3,61.8
8,1,1985,4.8,92.4,87.6,105,171.1,83.5,17.4,66.1
9,1,1985,4.8,86.8,82,101.7,171.2,89.2,19.7,69.4
10,1,1985,4.4,87.2,82.7,103.7,169.3,86.5,21,65.5
11,1,1985,4.6,87.6,83,104.7,171.8,88.8,21.7,67.1
12,1,1985,4.6,93.1,88.4,108.8,176.2,87.7,20.4,67.4
1,1,1986,4.8,90.4,85.6,104.2,178.8,93.2,18.6,74.6
2,1,1986,4.7,86.4,81.6,100.6,178.1,96.4,19,77.5
3,1,1986,4.1,81,76.9,97.1,175.4,98.5,20.2,78.3
4,1,1986,4.1,80.1,76,96.4,171.6,95.6,20.4,75.2
5,1,1986,4.3,94.2,89.8,108,171.7,81.9,18.2,63.7
6,1,1986,4.9,110.2,105.3,117.9,176.2,70.9,12.6,58.2
7,1,1986,5.8,120.7,114.9,133.9,194,79.2,19,60.1
8,1,1986,6.1,125.7,119.6,138.6,201.3,81.7,19,62.7
9,1,1986,5.9,118.2,112.4,133.8,205.7,93.3,21.4,71.9
10,1,1986,5.7,107.4,101.7,124.5,206.2,104.5,22.8,81.7
11,1,1986,5.3,106.3,101,124.4,203.7,102.7,23.4,79.2
12,1,1986,5.4,100.9,95.5,119.3,202.4,106.9,23.8,83.1
1,1,1987,5.2,94,88.9,110.8,199,110.1,21.9,88.2
2,1,1987,5.3,96.6,91.3,109.1,196.4,105,17.8,87.3
3,1,1987,5.1,95.3,90.2,107.4,191.8,101.6,17.2,84.4
4,1,1987,5.3,102.3,97,113.9,189.3,92.2,16.9,75.3
5,1,1987,5.7,110.4,104.8,123,194.4,89.6,18.2,71.4
6,1,1987,6.1,121.3,115.2,130.6,198.5,83.3,15.4,67.8
7,1,1987,6.2,122.2,116,132.6,204.8,88.9,16.7,72.2
8,1,1987,6.1,119.7,113.6,133.5,207.6,94,19.9,74.1
9,1,1987,5.8,108.8,103.1,125.9,208.3,105.2,22.8,82.4
10,1,1987,5.1,96.4,91.4,118.4,205.7,114.3,27.1,87.2
11,1,1987,4.2,80.5,76.2,108.4,200.2,123.9,32.1,91.8
12,1,1987,4.1,81.8,77.7,111.9,196.4,118.7,34.3,84.4
1,1,1988,4.7,88.4,83.7,109.3,196,112.4,25.6,86.7
2,1,1988,4.9,93.6,88.6,110.7,193.7,105.1,22,83
3,1,1988,4.4,84.9,80.5,108.8,193.9,113.5,28.3,85.2
4,1,1988,4.3,83.3,78.9,107.7,193.5,114.6,28.8,85.8
5,1,1988,4.8,94.1,89.3,111.8,194.2,105,22.5,82.4
6,1,1988,5.1,95.3,90.2,111.7,198.8,108.6,21.5,87.1
7,1,1988,4.9,90.3,85.3,105.1,198.3,113,19.8,93.2
8,1,1988,4.8,91,86.2,106.6,196.3,110.1,20.4,89.7
9,1,1988,4.5,80.9,76.4,102.2,195.6,119.2,25.7,93.5
10,1,1988,4.3,77.4,73.1,100.7,192.1,119,27.6,91.4
11,1,1988,3.9,72.3,68.4,96.9,188.3,120,28.5,91.4
12,1,1988,4.2,81.7,77.5,102.8,187.7,110.2,25.3,84.9
1,1,1989,4.5,82.8,78.3,99.1,191.6,113.3,20.8,92.5
2,1,1989,4.4,81.1,76.6,97.4,189.7,113.1,20.8,92.3
3,1,1989,4.3,78.7,74.4,96.5,190.1,115.8,22.1,93.6
4,1,1989,4.1,73.4,69.3,93.1,189.9,120.6,23.8,96.8
5,1,1989,4.5,84.8,80.3,100.4,187.4,107.1,20.1,87
6,1,1989,4.8,91.8,86.9,104.7,189.5,102.6,17.8,84.8
7,1,1989,5.1,93.3,88.3,105.7,193.4,105.1,17.5,87.7
8,1,1989,5.1,92.7,87.6,106.5,195.3,107.7,18.8,88.8
9,1,1989,4.8,87.4,82.5,105.7,195.1,112.6,23.2,89.4
10,1,1989,4.9,93.7,88.8,111.5,196.6,107.8,22.7,85.1
11,1,1989,4.7,90.7,85.9,112.4,200.6,114.7,26.4,88.2
12,1,1989,4.7,98,93.3,118,202.3,109,24.7,84.3
1,1,1990,5.1,94.9,89.9,110.1,206.4,116.6,20.3,96.3
2,1,1990,5.2,97.2,92,111,207.9,115.9,19,96.9
3,1,1990,5.4,103.2,97.8,116.6,208.4,110.6,18.8,91.9
4,1,1990,5.7,106.7,101.1,120.7,212.6,111.5,19.6,91.9
5,1,1990,6.4,123.2,116.8,133.7,218.2,101.3,16.9,84.5
6,1,1990,6.4,120.2,113.8,132,230.7,117,18.2,98.7
7,1,1990,6.4,122.8,116.4,133.8,235.1,118.7,17.4,101.3
8,1,1990,6,112.1,106.1,126.6,237.9,131.8,20.5,111.3
9,1,1990,5.6,108.9,103.3,126.9,233.6,130.3,23.6,106.8
10,1,1990,5.7,112.7,107,130.7,236.1,129.1,23.7,105.4
11,1,1990,5.1,97.9,92.9,125.8,235.8,142.9,32.9,110
12,1,1990,4.8,95.5,90.7,123.5,236.1,145.5,32.8,112.7
1,1,1991,5.3,100.8,95.6,115.3,228.6,133.1,19.7,113.3
2,1,1991,5.4,102.9,97.5,115.7,228,130.5,18.2,112.3
3,1,1991,5.2,102.2,97.1,116.5,226.3,129.2,19.4,109.9
4,1,1991,5.2,100.7,95.6,115.3,224,128.4,19.7,108.7
5,1,1991,5.2,107.7,102.5,121.4,225.7,123.2,18.9,104.3
6,1,1991,5.2,108.1,103,121.9,227,124.1,19,105.1
7,1,1991,5.2,109.5,104.3,121.6,230.3,126,17.3,108.7
8,1,1991,4.8,100.1,95.2,117.2,226.6,131.4,22,109.4
9,1,1991,4.4,92.1,87.6,112.6,224.2,136.6,24.9,111.6
10,1,1991,4.4,85.9,81.4,109.9,219.7,138.3,28.5,109.8
11,1,1991,3.8,74.9,71.1,102.6,217,145.9,31.5,114.4
12,1,1991,3.8,76.6,72.8,103.3,212.6,139.8,30.5,109.2
1,1,1992,3.6,73.1,69.5,98.4,210.2,140.8,28.9,111.9
2,1,1992,3.8,79.9,76.1,104.4,211.4,135.3,28.3,107
3,1,1992,3.8,77,73.2,100.5,209.7,136.5,27.3,109.2
4,1,1992,4.1,82,77.9,100.1,205.5,127.6,22.2,105.4
5,1,1992,4.3,90.4,86,106.4,207.8,121.7,20.3,101.4
6,1,1992,4.5,93.8,89.3,110.1,208.5,119.2,20.9,98.4
7,1,1992,4.6,89.4,84.7,107,212.2,127.5,22.3,105.2
8,1,1992,4.6,88.7,84,106.9,212,128,22.9,105.1
9,1,1992,4.4,83.5,79.1,104.7,211.2,132.1,25.6,106.5
10,1,1992,4.6,83.4,78.8,103.8,209.9,131.1,25,106.1
11,1,1992,4.6,82.1,77.5,101.8,207.8,130.3,24.3,105.9
12,1,1992,4.7,83,78.2,103.8,207.7,129.4,25.6,103.8
1,1,1993,4.7,82.3,77.6,99.8,207.4,129.8,22.3,107.5
2,1,1993,4.7,87.8,83.1,104,205.1,122.1,21,101.1
3,1,1993,5.1,92.6,87.6,107.8,205.1,117.6,20.2,97.3
4,1,1993,5.1,89.5,84.5,107.5,202.5,118,23,95
5,1,1993,5.2,93.1,88,107.8,206.1,118.1,19.9,98.3
6,1,1993,5.1,95.4,90.4,111.1,207.9,117.5,20.7,96.8
7,1,1993,4.8,91.2,86.4,108,211.8,125.4,21.7,103.8
8,1,1993,5.1,95.3,90.3,111.2,210.2,119.9,20.9,99
9,1,1993,5.1,95.5,90.4,110.9,213.3,122.9,20.5,102.4
10,1,1993,5.1,93.1,88.1,111.9,212.9,124.8,23.9,100.9
11,1,1993,4.6,84.7,80.1,109,213.8,133.7,28.9,104.8
12,1,1993,4.3,79.6,75.3,107.9,212.8,137.5,32.7,104.8
1,1,1994,4.6,86.4,81.8,111.8,212.9,131.1,30,101
2,1,1994,5.1,95,89.9,113.6,211.5,121.6,23.7,97.9
3,1,1994,5.1,87.5,82.5,110.4,213.1,130.6,27.9,102.7
4,1,1994,4.7,84.1,79.4,108.6,210.2,130.8,29.2,101.7
5,1,1994,4.6,83.8,79.1,107.4,210.3,131.2,28.3,102.9
6,1,1994,4.7,84.4,79.7,104.2,210.5,130.9,24.5,106.4
7,1,1994,4.7,84,79.2,105,212.1,132.9,25.8,107.1
8,1,1994,4.9,83.2,78.3,105.6,210.6,132.4,27.3,105
9,1,1994,4.4,70.1,65.7,100.4,208.7,143.1,34.7,108.4
10,1,1994,4.2,63.8,59.6,96.3,208.7,149.1,36.7,112.5
11,1,1994,3.9,55.7,51.8,91,206.3,154.5,39.2,115.3
12,1,1994,4.3,64,59.6,93.4,199.3,139.7,33.8,105.9
1,1,1995,4.8,74.2,69.3,95.7,202.5,133.2,26.4,106.8
2,1,1995,5.1,77.9,72.8,97.7,200.9,128.1,24.9,103.2
3,1,1995,4.7,74.9,70.2,96.1,204.7,134.5,25.9,108.7
4,1,1995,4.4,71,66.6,94.6,201.7,135.1,28,107.1
5,1,1995,4.4,74.2,69.7,97.6,202.1,132.3,27.9,104.4
6,1,1995,4.9,85.8,80.9,104.3,200,119.1,23.4,95.7
7,1,1995,5.5,93.2,87.7,106.8,202.5,114.8,19.1,95.7
8,1,1995,5.7,97.7,92,111.5,208.7,116.7,19.5,97.2
9,1,1995,5.8,95.9,90.2,112.2,209.5,119.3,22.1,97.2
10,1,1995,5.6,90.4,84.8,113.4,214.1,129.3,28.6,100.7
11,1,1995,4.8,78.7,73.8,105.9,212.4,138.6,32.1,106.5
12,1,1995,5.1,87,81.9,109.7,213.9,132,27.8,104.2
1,1,1996,4.9,83.7,78.8,107.3,212.8,134,28.5,105.5
2,1,1996,5.1,92.1,87,111.1,220.3,133.3,24.1,109.2
3,1,1996,5.4,96.6,91.2,113.8,221.9,130.6,22.6,108
4,1,1996,5.5,99.7,94.3,116.8,220.7,126.4,22.5,103.9
5,1,1996,6.5,114.2,107.7,127,226,118.3,19.3,99
6,1,1996,6.7,111.2,104.5,122.9,235.4,130.9,18.4,112.5
7,1,1996,7.1,117.5,110.4,129.1,238.8,128.4,18.7,109.7
8,1,1996,7.3,118.3,111,133.1,244.8,133.8,22.1,111.8
9,1,1996,6.9,107.9,100.9,127,247.8,146.8,26,120.8
10,1,1996,6.7,109.3,102.6,127.9,246.5,144,25.3,118.6
11,1,1996,6.6,108.6,102,130.2,245,143,28.2,114.8
12,1,1996,6.6,109,102.4,132.6,244.6,142.2,30.3,112
1,1,1997,6.4,105.6,99.2,125.7,246.2,147,26.5,120.5
2,1,1997,6.3,101.9,95.6,123.6,244.7,149.1,28,121.1
3,1,1997,6,95.6,89.6,121.6,242.2,152.5,32,120.6
4,1,1997,6.1,108,101.9,127,239.6,137.7,25.1,112.7
5,1,1997,6.4,113.9,107.5,131,242.3,134.8,23.5,111.3
6,1,1997,6.5,113.7,107.2,129.3,247.3,140.1,22.1,118
