"DATE","Byproduct","Gross_farm_value","Net_farm_value","Wholesale_value","Retail_value","Total","Farm_wholesale","Wholesale_retail","All_fresh_beef_retail_value"
"January-70","6.0","67.4","61.4","75.9","98.5","37.1","14.5","22.6",NULL
"February-70","6.4","69.8","63.4","75.6","98.3","34.9","12.2","22.7",NULL
"March-70","6.5","74.0","67.5","79.9","100.6","33.1","12.4","20.7",NULL
"April-70","6.5","73.4","66.9","79.2","101.1","34.2","12.3","21.9",NULL
"May-70","6.2","70.9","64.7","76.6","100.7","36.0","11.9","24.1",NULL
"June-70","6.0","72.5","66.5","78.2","99.8","33.3","11.7","21.6",NULL
"July-70","5.9","74.1","68.2","81.5","102.0","33.8","13.3","20.5",NULL
"August-70","6.0","71.7","65.7","79.1","101.7","36.0","13.4","22.6",NULL
"September-70","6.0","70.4","64.4","76.8","100.2","35.8","12.4","23.4",NULL
"October-70","6.1","69.1","63.0","74.6","99.3","36.3","11.6","24.7",NULL
"November-70","5.8","65.6","59.8","73.1","99.1","39.3","13.3","26.0",NULL
"December-70","5.3","64.1","58.8","71.5","98.0","39.2","12.7","26.5",NULL
"January-71","5.1","68.1","63.0","78.9","98.8","35.8","15.9","19.9",NULL
"February-71","5.9","76.1","70.2","84.0","102.9","32.7","13.8","18.9",NULL
"March-71","6.0","75.5","69.5","83.2","104.0","34.5","13.7","20.8",NULL
"April-71","6.1","76.9","70.8","85.2","105.8","35.0","14.4","20.6",NULL
"May-71","6.1","77.7","71.6","87.2","106.8","35.2","15.6","19.6",NULL
"June-71","6.0","76.7","70.7","85.2","107.6","36.9","14.5","22.4",NULL
"July-71","5.9","76.7","70.8","84.9","106.8","36.0","14.1","21.9",NULL
"August-71","5.9","78.4","72.5","87.0","107.7","35.2","14.5","20.7",NULL
"September-71","6.0","77.1","71.1","85.2","108.0","36.9","14.1","22.8",NULL
"October-71","6.0","76.5","70.5","83.6","107.2","36.7","13.1","23.6",NULL
"November-71","6.1","79.4","73.3","87.3","108.5","35.2","14.0","21.2",NULL
"December-71","6.2","81.0","74.8","90.4","110.8","36.0","15.6","20.4",NULL
"January-72","6.6","84.1","77.5","93.0","114.0","36.5","15.5","21.0",NULL
"February-72","7.0","85.4","78.4","93.1","118.4","40.0","14.7","25.3",NULL
"March-72","8.1","83.3","75.2","89.2","118.5","43.3","14.0","29.3",NULL
"April-72","8.5","82.1","73.6","87.2","114.6","41.0","13.6","27.4",NULL
"May-72","8.5","85.0","76.5","91.5","114.1","37.6","15.0","22.6",NULL
"June-72","8.7","89.8","81.1","96.0","116.3","35.2","14.9","20.3",NULL
"July-72","9.2","90.3","81.1","95.1","120.2","39.1","14.0","25.1",NULL
"August-72","9.8","84.2","74.4","88.6","118.7","44.3","14.2","30.1",NULL
"September-72","9.9","82.9","73.0","86.6","115.9","42.9","13.6","29.3",NULL
"October-72","10.9","83.5","72.6","86.2","115.8","43.2","13.6","29.6",NULL
"November-72","10.8","80.8","70.0","83.7","115.4","45.4","13.7","31.7",NULL
"December-72","10.1","88.4","78.3","93.1","117.8","39.5","14.8","24.7",NULL
"January-73","10.8","97.2","86.4","102.0","125.5","39.1","15.6","23.5",NULL
"February-73","11.8","103.6","91.8","108.1","134.0","42.2","16.3","25.9",NULL
"March-73","11.7","108.5","96.8","112.0","139.3","42.5","15.2","27.3",NULL
"April-73","11.5","107.2","95.7","112.5","140.0","44.3","16.8","27.5",NULL
"May-73","12.4","109.6","97.2","111.8","140.1","42.9","14.6","28.3",NULL
"June-73","12.9","112.1","99.2","114.4","139.6","40.4","15.2","25.2",NULL
"July-73","13.8","115.2","101.4","115.8","140.6","39.2","14.4","24.8",NULL
"August-73","14.0","129.3","115.3","126.3","148.7","33.4","11.0","22.4",NULL
"September-73","12.5","109.1","96.6","115.1","149.5","52.9","18.5","34.4",NULL
"October-73","11.7","99.4","87.7","104.6","140.4","52.7","16.9","35.8",NULL
"November-73","11.6","96.0","84.4","101.7","139.4","55.0","17.3","37.7",NULL
"December-73","10.9","95.0","84.1","105.4","138.9","54.8","21.3","33.5",NULL
"January-74","12.5","114.8","102.3","121.0","147.8","45.5","18.7","26.8",NULL
"February-74","11.6","111.5","99.9","122.8","155.1","55.2","22.9","32.3",NULL
"March-74","10.9","102.2","91.3","108.8","147.2","55.9","17.5","38.4",NULL
"April-74","10.3","100.0","89.7","107.3","141.2","51.5","17.6","33.9",NULL
"May-74","9.3","97.9","88.6","107.9","139.9","51.3","19.3","32.0",NULL
"June-74","8.4","91.4","83.0","101.8","136.9","53.9","18.8","35.1",NULL
"July-74","9.7","106.6","96.9","116.8","143.0","46.1","19.9","26.2",NULL
"August-74","10.9","114.8","103.9","120.4","148.7","44.8","16.5","28.3",NULL
"September-74","9.4","100.3","90.9","108.7","147.0","56.1","17.8","38.3",NULL
"October-74","8.7","96.4","87.7","105.5","142.0","54.3","17.8","36.5",NULL
"November-74","8.0","92.1","84.1","101.4","139.7","55.6","17.3","38.3",NULL
"December-74","7.3","90.0","82.7","98.9","137.3","54.6","16.2","38.4",NULL
"January-75","6.9","88.9","82.0","100.3","138.1","56.1","18.3","37.8",NULL
"February-75","6.5","85.2","78.7","95.6","134.2","55.5","16.9","38.6",NULL
"March-75","7.3","88.4","81.1","97.5","132.2","51.1","16.4","34.7",NULL
"April-75","8.8","105.0","96.2","114.3","139.4","43.2","18.1","25.1",NULL
"May-75","9.5","120.4","110.9","130.9","154.0","43.1","20.0","23.1",NULL
"June-75","9.9","127.5","117.6","139.2","164.5","46.9","21.6","25.3",NULL
"July-75","10.3","123.2","112.9","135.2","167.9","55.0","22.3","32.7",NULL
"August-75","10.2","113.8","103.6","126.7","162.2","58.6","23.1","35.5",NULL
"September-75","10.3","117.4","107.1","129.3","159.5","52.4","22.2","30.2",NULL
"October-75","10.4","114.4","104.0","123.1","159.1","55.1","19.1","36.0",NULL
"November-75","10.1","108.6","98.5","118.6","158.0","59.5","20.1","39.4",NULL
"December-75","9.8","110.0","100.2","119.3","157.4","57.2","19.1","38.1",NULL
"January-76","9.5","99.5","90.0","109.9","155.4","65.4","19.9","45.5",NULL
"February-76","8.9","93.4","84.5","102.1","149.2","64.7","17.6","47.1",NULL
"March-76","8.6","87.3","78.7","94.1","141.5","62.8","15.4","47.4",NULL
"April-76","11.4","105.1","93.7","109.0","148.6","54.9","15.3","39.6",NULL
"May-76","10.9","98.6","87.7","104.4","148.5","60.8","16.7","44.1",NULL
"June-76","10.7","97.8","87.1","103.2","147.5","60.4","16.1","44.3",NULL
"July-76","10.1","91.1","81.0","96.0","145.0","64.0","15.0","49.0",NULL
"August-76","9.9","89.6","79.7","94.6","142.4","62.7","14.9","47.8",NULL
"September-76","9.9","89.0","79.1","94.9","141.0","61.9","15.8","46.1",NULL
"October-76","10.2","91.0","80.8","96.3","140.2","59.4","15.5","43.9",NULL
"November-76","9.3","94.5","85.2","100.5","142.6","57.4","15.3","42.1",NULL
"December-76","9.9","96.4","86.5","103.5","146.0","59.5","17.0","42.5",NULL
"January-77","10.8","91.9","81.1","99.1","144.6","63.5","18.0","45.5",NULL
"February-77","10.8","91.5","80.7","97.5","141.6","60.9","16.8","44.1",NULL
"March-77","11.6","90.3","78.7","94.6","140.3","61.6","15.9","45.7",NULL
"April-77","12.6","97.2","84.6","100.1","141.1","56.5","15.5","41.0",NULL
"May-77","12.3","101.3","89.0","105.7","145.9","56.9","16.7","40.2",NULL
"June-77","11.2","97.2","86.0","103.3","144.8","58.8","17.3","41.5",NULL
"July-77","11.1","98.6","87.5","104.4","145.9","58.4","16.9","41.5",NULL
"August-77","11.1","96.1","85.0","102.5","146.9","61.9","17.5","44.4",NULL
"September-77","11.0","97.2","86.2","103.4","146.7","60.5","17.2","43.3",NULL
"October-77","11.0","101.8","90.8","108.4","149.4","58.6","17.6","41.0",NULL
"November-77","11.3","101.0","89.7","108.1","149.9","60.2","18.4","41.8",NULL
"December-77","11.4","104.0","92.6","111.8","153.1","60.5","19.2","41.3",NULL
"January-78","11.8","104.7","92.9","112.4","156.8","63.9","19.5","44.4",NULL
"February-78","11.9","108.5","96.6","116.5","159.0","62.4","19.9","42.5",NULL
"March-78","12.6","118.1","105.5","122.7","164.2","58.7","17.2","41.5",NULL
"April-78","13.0","127.5","114.5","133.2","173.0","58.5","18.7","39.8",NULL
"May-78","13.7","139.2","125.5","144.8","182.7","57.2","19.3","37.9",NULL
"June-78","14.1","134.6","120.5","141.3","191.9","71.4","20.8","50.6",NULL
"July-78","14.4","131.8","117.4","138.0","188.3","70.9","20.6","50.3",NULL
"August-78","15.6","125.8","110.2","130.5","186.1","75.9","20.3","55.6",NULL
"September-78","16.7","130.4","113.7","134.1","184.2","70.5","20.4","50.1",NULL
"October-78","16.8","130.2","113.4","133.7","184.4","71.0","20.3","50.7",NULL
"November-78","16.4","128.3","111.9","131.2","184.6","72.7","19.3","53.4",NULL
"December-78","16.2","134.4","118.2","138.4","190.3","72.1","20.2","51.9",NULL
"January-79","16.9","145.7","128.8","152.5","201.4","72.6","23.7","48.9",NULL
"February-79","19.0","156.8","137.8","159.6","211.6","73.8","21.8","52.0",NULL
"March-79","24.9","172.7","147.8","170.2","222.1","74.3","22.4","51.9",NULL
"April-79","26.7","181.4","154.7","176.6","228.8","74.1","21.9","52.2",NULL
"May-79","27.0","178.6","151.6","176.6","236.1","84.5","25.0","59.5",NULL
"June-79","24.1","166.0","141.9","167.8","229.6","87.7","25.9","61.8",NULL
"July-79","22.7","161.2","138.5","162.9","228.3","89.8","24.4","65.4",NULL
"August-79","21.0","151.4","130.4","154.0","217.1","86.7","23.6","63.1",NULL
"September-79","20.6","163.6","143.0","167.1","222.7","79.7","24.1","55.6",NULL
"October-79","19.6","157.3","137.7","160.6","220.5","82.8","22.9","59.9",NULL
"November-79","19.0","161.6","142.6","169.3","222.4","79.8","26.7","53.1",NULL
"December-79","18.8","163.9","145.1","171.4","228.6","83.5","26.3","57.2",NULL
"January-80","18.1","158.3","140.2","167.5","230.5","90.3","27.3","63.0",NULL
"February-80","16.7","162.4","145.7","170.2","230.8","85.1","24.5","60.6",NULL
"March-80","14.9","160.6","145.7","169.4","232.2","86.5","23.7","62.8",NULL
"April-80","14.0","152.8","138.8","163.2","229.3","90.5","24.4","66.1",NULL
"May-80","13.0","156.2","143.2","167.6","226.5","83.3","24.4","58.9",NULL
"June-80","14.0","160.7","146.7","172.2","226.7","80.0","25.5","54.5",NULL
"July-80","16.6","170.8","154.2","179.7","233.8","79.6","25.5","54.1",NULL
"August-80","18.5","174.5","156.0","182.1","238.1","82.1","26.1","56.0",NULL
"September-80","17.3","168.0","150.7","176.3","240.7","90.0","25.6","64.4",NULL
"October-80","17.3","163.2","145.9","172.4","237.5","91.6","26.5","65.1",NULL
"November-80","18.1","158.0","139.9","166.8","238.2","98.3","26.9","71.4",NULL
"December-80","16.8","157.4","140.6","165.5","238.8","98.2","24.9","73.3",NULL
"January-81","15.8","154.5","138.7","165.7","235.4","96.7","27.0","69.7",NULL
"February-81","14.7","149.2","134.5","159.2","233.5","99.0","24.7","74.3",NULL
"March-81","15.5","146.7","131.2","155.5","231.6","100.4","24.3","76.1",NULL
"April-81","16.4","155.0","138.6","161.5","227.0","88.4","22.9","65.5",NULL
"May-81","16.0","162.3","146.3","170.8","230.3","84.0","24.5","59.5",NULL
"June-81","15.4","165.2","149.8","174.4","234.8","85.0","24.6","60.4",NULL
"July-81","15.6","164.2","148.6","176.0","238.8","90.2","27.4","62.8",NULL
"August-81","15.6","159.1","143.5","169.7","238.6","95.1","26.2","68.9",NULL
"September-81","15.6","159.1","143.5","169.4","239.7","96.2","25.9","70.3",NULL
"October-81","15.1","149.2","134.1","158.8","237.4","103.3","24.7","78.6",NULL
"November-81","14.6","146.6","132.0","156.5","234.9","102.9","24.5","78.4",NULL
"December-81","14.1","143.3","129.2","155.2","234.0","104.8","26.0","78.8",NULL
"January-82","13.9","146.3","132.4","159.8","232.9","100.5","27.4","73.1",NULL
"February-82","13.9","154.3","140.4","165.2","234.0","93.6","24.8","68.8",NULL
"March-82","14.5","160.0","145.5","170.2","233.0","87.5","24.7","62.8",NULL
"April-82","15.1","167.5","152.4","178.6","236.3","83.9","26.2","57.7",NULL
"May-82","15.6","176.0","160.4","187.1","242.3","81.9","26.7","55.2",NULL
"June-82","15.1","170.1","155.0","181.0","250.3","95.3","26.0","69.3",NULL
"July-82","15.0","159.0","144.0","168.0","247.5","103.5","24.0","79.5",NULL
"August-82","15.0","157.0","142.0","165.4","242.7","100.7","23.4","77.3",NULL
"September-82","14.4","147.6","133.2","157.4","241.9","108.7","24.2","84.5",NULL
"October-82","13.8","143.1","129.3","153.0","234.6","105.3","23.7","81.6",NULL
"November-82","13.4","142.6","129.2","152.7","233.1","103.9","23.5","80.4",NULL
"December-82","12.7","142.5","129.8","152.7","231.7","101.9","22.9","79.0",NULL
"January-83","12.7","144.7","132.0","154.7","232.9","100.9","22.7","78.2",NULL
"February-83","12.9","148.9","136.0","158.5","234.6","98.6","22.5","76.1",NULL
"March-83","13.4","156.1","142.7","165.5","234.1","91.4","22.8","68.6",NULL
"April-83","15.0","166.6","151.6","176.5","240.3","88.7","24.9","63.8",NULL
"May-83","15.0","163.4","148.4","171.6","242.5","94.1","23.2","70.9",NULL
"June-83","14.7","158.6","143.9","167.4","240.0","96.1","23.5","72.6",NULL
"July-83","15.1","151.4","136.3","160.2","237.9","101.6","23.9","77.7",NULL
"August-83","16.6","147.8","131.2","154.6","234.5","103.3","23.4","79.9",NULL
"September-83","15.9","141.9","126.0","149.8","230.7","104.7","23.8","80.9",NULL
"October-83","15.6","143.2","127.6","149.5","227.9","100.3","21.9","78.4",NULL
"November-83","16.4","143.7","127.3","149.7","227.2","99.9","22.4","77.5",NULL
"December-83","16.3","155.4","139.1","163.3","226.4","87.3","24.2","63.1",NULL
"January-84","17.3","164.1","146.8","171.6","235.2","88.4","24.8","63.6",NULL
"February-84","17.6","162.8","145.2","167.5","239.8","94.6","22.3","72.3",NULL
"March-84","17.8","166.7","148.9","170.7","240.4","91.5","21.8","69.7",NULL
"April-84","18.6","164.9","146.3","168.3","240.6","94.3","22.0","72.3",NULL
"May-84","20.0","158.6","138.6","161.7","237.8","99.2","23.1","76.1",NULL
"June-84","18.4","155.9","137.5","159.0","235.6","98.1","21.5","76.6",NULL
"July-84","17.7","159.3","141.6","163.5","232.3","90.7","21.9","68.8",NULL
"August-84","18.0","155.8","137.8","158.5","233.1","95.3","20.7","74.6",NULL
"September-84","18.0","150.4","132.4","153.4","231.2","98.8","21.0","77.8",NULL
"October-84","17.4","148.3","130.9","150.4","230.9","100.0","19.5","80.5",NULL
"November-84","16.6","157.1","140.5","161.3","232.6","92.1","20.8","71.3",NULL
"December-84","16.2","159.4","143.2","164.6","236.2","93.0","21.4","71.6",NULL
"January-85","15.5","155.9","140.4","161.8","235.6","95.2","21.4","73.8",NULL
"February-85","15.0","152.8","137.8","158.9","234.6","96.8","21.1","75.7",NULL
"March-85","14.3","144.6","130.3","150.8","234.5","104.2","20.5","83.7",NULL
"April-85","15.2","142.8","127.6","146.3","232.8","105.2","18.7","86.5",NULL
"May-85","14.6","140.6","126.0","146.4","230.4","104.4","20.4","84.0",NULL
"June-85","13.6","137.1","123.5","144.5","228.1","104.6","21.0","83.6",NULL
"July-85","13.7","128.3","114.6","135.0","226.7","112.1","20.4","91.7",NULL
"August-85","14.1","126.7","112.6","131.9","221.7","109.1","19.3","89.8",NULL
"September-85","13.9","125.6","111.7","133.7","219.8","108.1","22.0","86.1",NULL
"October-85","14.9","143.1","128.2","149.7","220.4","92.2","21.5","70.7",NULL
"November-85","16.2","155.0","138.8","163.8","226.0","87.2","25.0","62.2",NULL
"December-85","15.9","154.0","138.1","162.6","232.9","94.8","24.5","70.3",NULL
"January-86","15.5","144.5","129.0","152.6","232.9","103.9","23.6","80.3",NULL
"February-86","14.9","136.5","121.6","143.1","228.5","106.9","21.5","85.4",NULL
"March-86","14.5","134.9","120.4","141.0","226.4","106.0","20.6","85.4",NULL
"April-86","14.4","131.2","116.8","137.8","223.1","106.3","21.0","85.3",NULL
"May-86","14.7","135.7","121.0","142.8","222.9","101.9","21.8","80.1",NULL
"June-86","14.3","128.2","113.9","138.4","222.7","108.8","24.5","84.3",NULL
"July-86","15.4","140.9","125.5","146.9","223.5","98.0","21.4","76.6",NULL
"August-86","14.8","143.6","128.8","149.3","226.3","97.5","20.5","77.0",NULL
"September-86","14.5","144.1","129.6","149.5","227.1","97.5","19.9","77.6",NULL
"October-86","15.4","144.9","129.5","150.9","227.3","97.8","21.4","76.4",NULL
"November-86","15.7","150.5","134.8","156.0","229.8","95.0","21.2","73.8",NULL
"December-86","16.2","145.2","129.0","150.1","230.8","101.8","21.1","80.7",NULL
"January-87","16.4","142.8","126.4","147.5","232.6","106.2","21.1","85.1",NULL
"February-87","17.1","149.5","132.4","151.4","229.6","97.2","19.0","78.2",NULL
"March-87","17.3","151.4","134.1","153.6","229.6","95.5","19.5","76.0",NULL
"April-87","18.9","163.4","144.5","166.1","232.8","88.3","21.6","66.7",NULL
"May-87","19.7","171.4","151.7","176.0","239.3","87.6","24.3","63.3",NULL
"June-87","19.2","168.7","149.5","173.5","245.2","95.7","24.0","71.7",NULL
"July-87","19.1","159.0","139.9","163.8","244.0","104.1","23.9","80.2","213.9"
"August-87","19.4","156.5","137.1","157.0","241.2","104.1","19.9","84.2","213.1"
"September-87","19.6","158.0","138.4","159.5","241.3","102.9","21.1","81.8","214.5"
"October-87","20.0","157.9","137.9","159.2","241.5","103.6","21.3","82.3","217.7"
"November-87","20.0","156.9","136.9","156.8","242.4","105.5","19.9","85.6","218.6"
"December-87","20.5","156.0","135.5","155.4","241.1","105.6","19.9","85.7","218.5"
"January-88","21.3","158.8","137.5","159.3","238.8","101.3","21.8","79.5","212.5"
"February-88","21.9","166.0","144.1","163.3","242.1","98.0","19.2","78.8","215.8"
"March-88","23.5","173.1","149.6","169.6","244.3","94.7","20.0","74.7","218.3"
"April-88","23.3","176.7","153.4","172.6","245.9","92.5","19.2","73.3","221.2"
"May-88","22.4","181.9","159.5","183.0","248.9","89.4","23.5","65.9","222.9"
"June-88","21.1","170.1","149.0","174.2","255.5","106.5","25.2","81.3","227.1"
"July-88","21.1","159.9","138.8","159.2","254.9","116.1","20.4","95.7","229.0"
"August-88","21.5","165.3","143.8","165.7","253.4","109.6","21.9","87.7","227.1"
"September-88","19.7","166.3","146.6","169.1","255.3","108.7","22.5","86.2","228.0"
